"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24829","тест 9","","Wed May 14 21:01:19 GMT 2025","failed","Wed May 14 21:01:44 GMT 2025","","tests.OtherTests","tests.OtherTests","test9"
"","920","тест 6","","Wed May 14 21:01:46 GMT 2025","passed","Wed May 14 21:01:47 GMT 2025","","tests.OtherTests","tests.OtherTests","test6"
"","5662","тест 7","","Wed May 14 21:01:46 GMT 2025","passed","Wed May 14 21:01:51 GMT 2025","","tests.OtherTests","tests.OtherTests","test7"
"","1856","тест 4","","Wed May 14 21:01:44 GMT 2025","failed","Wed May 14 21:01:46 GMT 2025","","tests.SmokeTests","tests.SmokeTests","test4"
"","1784","тест 10","","Wed May 14 21:01:44 GMT 2025","failed","Wed May 14 21:01:46 GMT 2025","","tests.OtherTests","tests.OtherTests","test10"
"","24823","тест 2","","Wed May 14 21:01:19 GMT 2025","passed","Wed May 14 21:01:44 GMT 2025","","tests.SmokeTests","tests.SmokeTests","test2"
"","1839","тест 8","","Wed May 14 21:01:44 GMT 2025","passed","Wed May 14 21:01:46 GMT 2025","","tests.OtherTests","tests.OtherTests","test8"
"","24829","тест 5","","Wed May 14 21:01:19 GMT 2025","failed","Wed May 14 21:01:44 GMT 2025","","tests.SmokeTests","tests.SmokeTests","test5"
"","1780","тест 3","","Wed May 14 21:01:44 GMT 2025","passed","Wed May 14 21:01:46 GMT 2025","","tests.SmokeTests","tests.SmokeTests","test3"
"","24822","тест 1","","Wed May 14 21:01:19 GMT 2025","passed","Wed May 14 21:01:44 GMT 2025","","tests.SmokeTests","tests.SmokeTests","test1"
