"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18966","тест 1","","Wed May 14 20:48:45 GMT 2025","passed","Wed May 14 20:49:04 GMT 2025","","tests.SmokeTests","tests.SmokeTests","test1"
"","1862","тест 8","","Wed May 14 20:49:04 GMT 2025","passed","Wed May 14 20:49:06 GMT 2025","","tests.OtherTests","tests.OtherTests","test8"
"","18997","тест 9","","Wed May 14 20:48:45 GMT 2025","failed","Wed May 14 20:49:04 GMT 2025","","tests.OtherTests","tests.OtherTests","test9"
"","1845","тест 2","","Wed May 14 20:49:04 GMT 2025","passed","Wed May 14 20:49:06 GMT 2025","","tests.SmokeTests","tests.SmokeTests","test2"
"","1829","тест 4","","Wed May 14 20:49:04 GMT 2025","failed","Wed May 14 20:49:06 GMT 2025","","tests.SmokeTests","tests.SmokeTests","test4"
"","1140","тест 3","","Wed May 14 20:49:06 GMT 2025","passed","Wed May 14 20:49:07 GMT 2025","","tests.SmokeTests","tests.SmokeTests","test3"
"","18974","тест 10","","Wed May 14 20:48:45 GMT 2025","failed","Wed May 14 20:49:04 GMT 2025","","tests.OtherTests","tests.OtherTests","test10"
"","1128","тест 7","","Wed May 14 20:49:06 GMT 2025","passed","Wed May 14 20:49:07 GMT 2025","","tests.OtherTests","tests.OtherTests","test7"
"","1848","тест 6","","Wed May 14 20:49:04 GMT 2025","passed","Wed May 14 20:49:06 GMT 2025","","tests.OtherTests","tests.OtherTests","test6"
"","18976","тест 5","","Wed May 14 20:48:45 GMT 2025","failed","Wed May 14 20:49:04 GMT 2025","","tests.SmokeTests","tests.SmokeTests","test5"
